loading convaiinnovations/laya-multilingual ...
Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 2649.93it/s]
device=mps  encoding=numeric
train obstacle mix: cactus_small=23.2%  cactus_large=22.5%  pterodactyl@0=18.8%  pterodactyl@25=18.7%  pterodactyl@50=15.0%  none=1.9%
train=100000  calib=4000  test=4000
tokens/row: 72 avg, 74 max
trainable: 15.0M / 321.9M params (4.7%)
positives=53147/100000 (53.1%)  class_weight=[1.0, 1.0]

baseline (before training):
  acc=0.481  recall=0.482  ece=0.179
  ep0 step100/18750 loss=0.8000 (79 rows/s)
  ep0 step200/18750 loss=0.6911 (79 rows/s)
  ep0 step300/18750 loss=0.6668 (79 rows/s)
  ep0 step400/18750 loss=0.6278 (79 rows/s)
  ep0 step500/18750 loss=0.5620 (79 rows/s)
  ep0 step600/18750 loss=0.5068 (79 rows/s)
  ep0 step700/18750 loss=0.4921 (79 rows/s)
  ep0 step800/18750 loss=0.4912 (79 rows/s)
  ep0 step900/18750 loss=0.4154 (79 rows/s)
  ep0 step1000/18750 loss=0.3893 (79 rows/s)
  ep0 step1100/18750 loss=0.3674 (79 rows/s)
  ep0 step1200/18750 loss=0.3249 (79 rows/s)
  ep0 step1300/18750 loss=0.3089 (79 rows/s)
  ep0 step1400/18750 loss=0.2901 (79 rows/s)
  ep0 step1500/18750 loss=0.2988 (79 rows/s)
  ep0 step1600/18750 loss=0.2910 (79 rows/s)
  ep0 step1700/18750 loss=0.2562 (79 rows/s)
  ep0 step1800/18750 loss=0.2982 (79 rows/s)
  ep0 step1900/18750 loss=0.2699 (79 rows/s)
  ep0 step2000/18750 loss=0.2596 (79 rows/s)
  ep0 step2100/18750 loss=0.2520 (79 rows/s)
  ep0 step2200/18750 loss=0.2348 (79 rows/s)
  ep0 step2300/18750 loss=0.2137 (79 rows/s)
  ep0 step2400/18750 loss=0.2280 (79 rows/s)
  ep0 step2500/18750 loss=0.2275 (79 rows/s)
  ep0 step2600/18750 loss=0.2086 (79 rows/s)
  ep0 step2700/18750 loss=0.2072 (79 rows/s)
  ep0 step2800/18750 loss=0.2014 (79 rows/s)
  ep0 step2900/18750 loss=0.1815 (79 rows/s)
  ep0 step3000/18750 loss=0.1928 (79 rows/s)
  ep0 step3100/18750 loss=0.1812 (79 rows/s)
  ep0 step3200/18750 loss=0.1773 (79 rows/s)
  ep0 step3300/18750 loss=0.2104 (79 rows/s)
  ep0 step3400/18750 loss=0.1716 (79 rows/s)
  ep0 step3500/18750 loss=0.1898 (79 rows/s)
  ep0 step3600/18750 loss=0.2021 (79 rows/s)
  ep0 step3700/18750 loss=0.1750 (79 rows/s)
  ep0 step3800/18750 loss=0.1789 (79 rows/s)
  ep0 step3900/18750 loss=0.1523 (79 rows/s)
  ep0 step4000/18750 loss=0.1544 (79 rows/s)
  ep0 step4100/18750 loss=0.1561 (79 rows/s)
  ep0 step4200/18750 loss=0.1732 (79 rows/s)
  ep0 step4300/18750 loss=0.1514 (79 rows/s)
  ep0 step4400/18750 loss=0.1736 (79 rows/s)
  ep0 step4500/18750 loss=0.1669 (79 rows/s)
  ep0 step4600/18750 loss=0.1699 (79 rows/s)
  ep0 step4700/18750 loss=0.1439 (79 rows/s)
  ep0 step4800/18750 loss=0.1472 (79 rows/s)
  ep0 step4900/18750 loss=0.1483 (79 rows/s)
  ep0 step5000/18750 loss=0.1316 (79 rows/s)
  ep0 step5100/18750 loss=0.1346 (79 rows/s)
  ep0 step5200/18750 loss=0.1296 (79 rows/s)
  ep0 step5300/18750 loss=0.1505 (79 rows/s)
  ep0 step5400/18750 loss=0.1346 (79 rows/s)
  ep0 step5500/18750 loss=0.1209 (79 rows/s)
  ep0 step5600/18750 loss=0.1560 (79 rows/s)
  ep0 step5700/18750 loss=0.1306 (79 rows/s)
  ep0 step5800/18750 loss=0.1312 (79 rows/s)
